adoption,adoptionDegree,authors,docId,docLabel,docTitle,docType,group,href,implementationDate,keywords,leadingunit,participationUnits,publicationDate,publisher,status.active,workInfo.review,status.stabilized,status.stabilizedDate,status.superseded,status.supersededBy,status.withdrawn,references.normative,status.statusNote,references.bibliographic,docElement,docNumber,docPart,repo,doi,relatedDocs,status.reaffirmDate,status.reaffirmed,status.unknown,status.draft,status.publicCd,status.amended,status.amendedDate,status.amendedBy,details
undefined,undefined,undefined,iso2969-2015,ISO 2969:2015,Cinematography — B-chain electro-acoustic reponse of motion-picture control rooms and indoor theatres —Specifications and measurements,国际标准,iso-tc36-tc,https://www.iso.org/standard/43646.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,sjt-10724-2013,SJ/T 10724-2013,电声学 测量电容传声器通用规范,行业标准,全国电声学标准化技术委员会（TC 23）,undefined,2013-12-01,undefined,undefined,undefined,2013-10-17,中华人民共和国工业和信息化部,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""张鑫"",""崔强"",""张红"",""刘翼光""]",gyt-247-2011,GY/T 247-2011,影院管理系统基本功能和接口规范,行业标准,全国广播电影电视标准化技术委员会（SAC/TC239/SC4）,./pdf/GYT_247-2011_影院管理系统基本功能和接口规范.pdf,2011-08-03,"[""影院信息化"",""检测能力""]",中国电影科学技术研究所,"[""中国电影科学技术研究所"",""国家广电总局电影数字节目管理中心""]",2011-08-03,国家广播电影电视总局,true,"[{""assignedGroup"":""国家电影局"",""reviewDate"":""2017-01-01"",""reviewPeriod"":""5年""}]",undefined,undefined,undefined,undefined,undefined,"[""iso26430-4-2009"",""iso26430-5-2009"",""xml-20040204"",""xmlschema-1-20041028"",""xmlschema-2-20041028""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,xmlschema-2-20041028,XML SCHEMA 2,XML Schema Part 2: Datatypes Second Edition,国外建议,undefined,https://www.w3.org/TR/2004/REC-xmlschema-2-20041028/,undefined,undefined,undefined,undefined,2004-10-28,W3C,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,xmlschema-1-20041028,XML SCHEMA 1,XML Schema Part 1: Structures Second Edition,国外建议,undefined,https://www.w3.org/TR/2004/REC-xmlschema-1-20041028/,undefined,undefined,undefined,undefined,2004-10-28,W3C,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,xml-20040204,XML,Extensible Markup Language (XML) 1.0 (3rd Edition),国外建议,undefined,https://www.w3.org/TR/2004/REC-xml-20040204/,undefined,undefined,undefined,undefined,2004-02-04,W3C,false,null,undefined,undefined,true,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26430-5-2009,ISO 26430-5:2009,Digital cinema (D-cinema) operations — Part 5: Security log event class and constraints,国际标准,iso-tc36-tc,https://www.iso.org/standard/52789.html,undefined,"[""DCinema"",""安全"",""运营""]",undefined,undefined,2009-12-01,ISO,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,2015-01-01,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26430-4-2009,ISO 26430-4:2009,Digital cinema (D-cinema) operations — Part 4: Log record format specification,国际标准,iso-tc36-tc,https://www.iso.org/standard/52788.html,undefined,"[""DCinema"",""运营""]",undefined,undefined,2009-12-01,ISO,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,dyt-247-20XX,DY/T 247-20XX,影院管理系统基本功能和接口规范,行业标准,国家电影局,undefined,undefined,"[""影院信息化""]",中国电影科学技术研究所,undefined,undefined,国家电影局,undefined,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,true,true,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso/dis5926,ISO/DIS 5926,Technical requirements and test methods for digital cinema stereoscopic projection,国际标准,iso-tc36-tc,https://www.iso.org/standard/81846.html,undefined,"[""立体"",""测量""]",undefined,undefined,undefined,ISO,undefined,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,true,true,undefined,undefined,undefined,undefined
undefined,undefined,undefined,dyt-50XX.1-20XX,DY/T 50XX-20XX,电影摄影棚建筑设计规范,行业标准,国家电影局,undefined,undefined,"[""制作"",""工程建设""]",中广电广播电影电视设计研究院,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,true,true,undefined,undefined,undefined,undefined
undefined,undefined,undefined,dyt-50XX.2-20XX,DY/T 50XX-20XX,电影后期制作建筑设计规范,行业标准,国家电影局,undefined,undefined,"[""制作"",""工程建设""]",中广电广播电影电视设计研究院,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,true,true,undefined,undefined,undefined,undefined
undefined,undefined,undefined,dci-dcss-v142,DCSS v1.4.2,Digital Cinema System Specification Version 1.4.2,国外规范,undefined,https://dcss.dcimovies.com/0c0cff34d231b516cb89ae3fad352d5cf37a9515/dcss.html,undefined,undefined,undefined,undefined,2022-06-15,DCI,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso26429-6-2008""]",修改采用（MOD）,"[""刘戈三"",""张鑫"",""刘茂英"",""王萃"",""王木旺"",""李铭""]",dyt-2.3-2020,DY/T 2.3-2020,数字电影打包 第3部分：MXF轨迹文件基本数据加密,行业标准,国家电影局,./pdf/DYT_2.3-2020_数字电影打包_第3部分：MXF轨迹文件基本数据加密.pdf,2020-09-30,"[""打包"",""安全""]",北京电影学院,"[""北京电影学院"",""中国电影科学技术研究所""]",2020-09-22,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26429-6-2008,ISO 26429-6:2008,Digital cinema (D-cinema) packaging — Part 6: MXF track file essence encryption,国际标准,iso-tc36-tc,https://www.iso.org/standard/50222.html,undefined,"[""DCinema"",""打包"",""DCP核心"",""安全"",""MXF应用""]",undefined,undefined,2008-07-01,ISO,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,2017-01-01,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso26429-7-2008""]",修改采用（MOD）,"[""刘戈三"",""王萃"",""刘茂英"",""王木旺"",""张鑫"",""李铭""]",dyt-2.4-2020,DY/T 2.4-2020,数字电影打包 第4部分：合成播放列表,行业标准,国家电影局,./pdf/DYT_2.4-2020_数字电影打包_第4部分：合成播放列表.pdf,2020-09-30,"[""打包""]",北京电影学院,"[""北京电影学院"",""中国电影科学技术研究所""]",2020-09-22,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26429-7-2008,ISO 26429-7:2008,Digital cinema (D-cinema) packaging — Part 7: Composition playlist,国际标准,iso-tc36-tc,https://www.iso.org/standard/50223.html,undefined,"[""DCinema"",""打包"",""DCP核心""]",undefined,undefined,2008-09-01,ISO,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,2017-01-01,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso26429-8-2008""]",修改采用（MOD）,"[""王萃"",""方捷新"",""张雪"",""刘达""]",dyt-2.5-2020,DY/T 2.5-2020,数字电影打包 第5部分：打包列表,行业标准,国家电影局,./pdf/DYT_2.5-2020_数字电影打包_第5部分：打包列表.pdf,2020-09-30,"[""打包""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2020-09-22,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26429-8-2008,ISO 26429-8:2008,Digital cinema (D-cinema) packaging — Part 8: Packing list,国际标准,iso-tc36-tc,https://www.iso.org/standard/52785.html,undefined,"[""DCinema"",""打包"",""DCP核心""]",undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso26429-8-2009""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso26429-9-2008""]",修改采用（MOD）,"[""刘茂英"",""王木旺"",""李虹珊"",""张鑫""]",dyt-2.6-2020,DY/T 2.6-2020,数字电影打包 第6部分：资产映射和文件分割,行业标准,国家电影局,./pdf/DYT_2.6-2020_数字电影打包_第6部分：资产映射和文件分割.pdf,2020-09-30,"[""打包""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2020-09-22,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26429-9-2008,ISO 26429-9:2008,Digital cinema (D-cinema) packaging — Part 9: Asset mapping and file segmentation,国际标准,iso-tc36-tc,https://www.iso.org/standard/52786.html,undefined,"[""DCinema"",""打包"",""DCP核心"",""发行""]",undefined,undefined,2009-12-01,ISO,false,null,undefined,undefined,true,"[""iso26429-9-2009""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso26429-10-2008""]",修改采用（MOD）,"[""刘茂英"",""李铭"",""林晓森"",""何晓"",""才惠新""]",dyt-2.7-2020,DY/T 2.7-2020,数字电影打包 第7部分：立体图像轨迹文件,行业标准,国家电影局,./pdf/DYT_2.7-2020_数字电影打包_第7部分：立体图像轨迹文件.pdf,2020-09-30,"[""打包""]",中国电影科学技术研究所,"[""中国电影科学技术研究所"",""北京电影学院"",""南京行影信息技术有限公司""]",2020-09-22,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26429-10-2008,ISO 26429-10:2008,Digital cinema (D-cinema) packaging — Part 10: Stereoscopic picture track file,国际标准,iso-tc36-tc,https://www.iso.org/standard/52787.html,undefined,"[""DCinema"",""DCP核心"",""发行"",""图像"",""打包""]",undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso26429-10-2009""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""李娜"",""韩晓黎"",""陈飞"",""林民杰"",""陈江"",""杨洪涛"",""董强国"",""张辉"",""王文强"",""贾波"",""崔晓宇"",""张金亮""]",dyt-3-2020,DY/T 3-2020,数字电影巨幕影厅技术要求和测量方法,行业标准,国家电影局,./pdf/DYT_3-2020_数字电影巨幕影厅技术要求和测量方法.pdf,2021-01-01,"[""测量"",""巨幕"",""检测能力""]",中央宣传部电影技术质量检测所,"[""中央宣传部电影技术质量检测所"",""中国电影器材有限责任公司"",""中影数字巨幕（北京）有限公司"",""北京中影博圣影视科技有限公司""]",2021-01-01,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,"[""gyt-311-2017"",""gyt-312-2017"",""dyt-1-2020""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,"[""gdj-040-2012""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""陈江"",""李娜"",""张辉"",""董强国"",""周令非"",""王景宇"",""邢锡伦"",""林刚"",""丁健""]",dyt-4-2020,DY/T 4-2020,巨型金属银幕技术要求和测量方法,行业标准,国家电影局,./pdf/DYT_4-2020_巨型金属银幕技术要求和测量方法.pdf,2021-01-01,"[""测量"",""巨幕""]",中央宣传部电影技术质量检测所,"[""中央宣传部电影技术质量检测所"",""芜湖影星巨幕有限公司"",""北京哈克尼斯银幕有限公司"",""北京炫动九星银幕科技有限公司"",""广州柏拉图新材料有限公司""]",2021-01-01,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,"[""gbt-1040.1-2006"",""gbt-1040.3-2006"",""gbt-3241-2010"",""gbt-3785.1-2010"",""gbt-13982-2011"",""gbt-32200-2015"",""sjt-10724-2013""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-32200-2015,GB/T 32200—2015,放映银幕特性参数和测定方法,国家标准,中国机械工业联合会,./pdf/GBT_32200—2015_放映银幕特性参数和测定方法.pdf,2016-07-01,"[""检测能力""]",undefined,undefined,2015-12-10,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso6896-1984""]",undefined,undefined,gbt-22161-2008,GB/T 22161-2008,35mm电影放映机间歇输片齿轮 尺寸,国家标准,中国机械工业联合会,./pdf/GBT_22161-2008_35mm电影放映机间歇输片齿轮_尺寸.pdf,2009-01-01,"[""胶片工艺""]",undefined,undefined,2008-06-30,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso3647-1976""]",修改采用（MOD）,undefined,gbt-7700-2005,GB/T 7700—2005,16mm电影放映机片轴 尺寸,国家标准,中国机械工业联合会,./pdf/GBT_7700—2005_16mm电影放映机片轴_尺寸.pdf,2005-12-01,"[""胶片工艺""]",undefined,undefined,2005-05-31,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-13982-2011,GB/T 13982—2011,反射和透射放映银幕,国家标准,中国机械工业联合会,./pdf/GBT_13982—2011_反射和透射放映银幕.pdf,2012-01-01,"[""检测能力""]",undefined,undefined,2011-10-31,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-1040.1-2006,GB/T 1040.1—2006,塑料 拉伸性能的测定 第一部分：总则,国家标准,全国塑料标准化技术委员会（TC15）,undefined,2007-01-01,undefined,undefined,undefined,2006-08-24,国家市场监督管理总局/中国国家标准化管理委员会,false,null,undefined,2019-11-01,true,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-1040.3-2006,GB/T 1040.3—2006,塑料 拉伸性能的测定 第三部分：薄膜和薄片的试验条件,国家标准,全国电声学标准化技术委员会（TC 23）,undefined,2007-02-01,undefined,undefined,undefined,2006-09-01,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""刘戈三"",""常乐"",""刘茂英"",""徐嘉"",""黄晓宇"",""牛小明"",""王峥"",""靳宇""]",dyt-5-2021,DY/T 5-2021,数字电影存档母版技术规范,行业标准,国家电影局,./pdf/DYT_5-2021_数字电影存档母版技术规范.pdf,2021-08-01,"[""存档"",""母版""]",北京电影学院,"[""北京电影学院"",""中国电影科学技术研究所"",""中国电影股份有限公司"",""华夏电影发行有限责任公司"",""中央宣传部电影数字节目管理中心"",""中国电影资料馆""]",2021-08-01,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,"[""gyt-288-2014"",""gyt-292.2-2015"",""iso26428-3-2008"",""iso14496-2-2004"",""iso15444-1-2019"",""SMPTE.ST428-11.2013"",""SMPTE.ST429-5.2017"",""SMPTE.ST2067-2.2020"",""SMPTE.ST2067-5.2020""]",undefined,"[""gyt-309-2017"",""SMPTE.ST428-1.2019"",""SMPTE.ST428-9.2008"",""SMPTE.ST429-4.2020"",""SMPTE.ST2067-20.2016"",""SMPTE.ST2067-21.2020"",""SMPTE.ST2067-30.2013""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso26428-3-2008,ISO 26428-3:2008,Digital cinema (D-cinema) distribution master — Part 3: Audio channel mapping and channel docLabeling,国际标准,iso-tc36-tc,https://www.iso.org/standard/50219.html,undefined,"[""DCinema"",""DCDM"",""DCP核心"",""发行"",""声音""]",undefined,undefined,2008-09-01,ISO,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,2017-01-01,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso14496-2,ISO/IEC 14496-2,Information technology — Coding of audio-visual objects — Part 2: Visual,国际标准,undefined,https://www.iso.org/standard/39259.html,undefined,undefined,undefined,undefined,2004-06-01,ISO/IEC,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso14496-2-2004,ISO/IEC 14496-2:2004,Information technology — Coding of audio-visual objects — Part 2: Visual,国际标准,undefined,https://www.iso.org/standard/39259.html,undefined,undefined,undefined,undefined,2004-06-01,ISO/IEC,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,true,undefined,undefined,undefined
undefined,undefined,undefined,iso15444-1-2019,ISO 15444-1:2019,Information technology — JPEG 2000 image coding system —Part 1: Core coding system,国际标准,undefined,https://www.iso.org/standard/78321.html,undefined,"[""DCinema"",""JPEG2000""]",undefined,undefined,2019-10-01,ISO/IEC,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST428-11.2013,SMPTE ST 428-11:2013,Additional Frame Rates for D-Cinema,国外标准,smpte-27c-tc,https://doi.org/10.5594/SMPTE.ST428-11.2013,undefined,"[""DCinema"",""DCDM"",""发行""]",undefined,undefined,2013-08-27,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,428,11,https://github.com/SMPTE/st428-11,10.5594/SMPTE.ST428-11.2013,undefined,2018-03-15,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST429-5.2017,SMPTE ST 429-5:2017,D-Cinema Packaging — Timed Text Track File,国外标准,smpte-27c-tc,https://doi.org/10.5594/SMPTE.ST429-5.2017,undefined,"[""DCinema"",""打包"",""DCP核心"",""对白"",""字幕"",""无障碍"",""MXF应用""]",undefined,undefined,2017-12-27,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,429,5,https://github.com/SMPTE/st429-5,10.5594/SMPTE.ST429-5.2017,undefined,2019-11-13,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST2067-2.2020,SMPTE ST 2067-2:2020,Interoperable Master Format — Core Constraints,国外标准,smpte-35pm-tc,https://doi.org/10.5594/SMPTE.ST2067-2.2020,undefined,"[""IMF""]",undefined,undefined,2020-05-12,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,2067,2,undefined,10.5594/SMPTE.ST2067-2.2020,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST2067-5.2020,SMPTE ST 2067-5:2020,Interoperable Master Format — Essence Component,国外标准,smpte-35pm-tc,https://doi.org/10.5594/SMPTE.ST2067-5.2020,undefined,"[""IMF""]",undefined,undefined,2020-05-12,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,2067,5,undefined,10.5594/SMPTE.ST2067-5.2020,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST428-9.2008,SMPTE ST 428-9:2008,D-Cinema Distribution Master - Image Pixel Structure Level 3 - Serial Digital Interface Signal Formatting,国外标准,smpte-27c-tc,https://doi.org/10.5594/SMPTE.ST428-9.2008,undefined,"[""DCinema"",""DCDM"",""发行"",""图像"",""SDI""]",undefined,undefined,2008-02-14,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,428,9,https://github.com/SMPTE/st428-9,10.5594/SMPTE.ST428-9.2008,undefined,2018-03-15,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST429-4.2020,SMPTE ST 429-4:2020,D-Cinema Packaging - MXF JPEG 2000 Application,国外标准,smpte-27c-tc,https://doi.org/10.5594/SMPTE.ST429-4.2020,undefined,"[""DCinema"",""打包"",""DCP核心"",""图像"",""MXF应用"",""JPEG2000""]",undefined,undefined,2020-03-23,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,429,4,https://github.com/SMPTE/st429-4,10.5594/SMPTE.ST429-4.2020,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST2067-20.2016,SMPTE ST 2067-20:2016,Interoperable Master Format — Application #2,国外标准,smpte-35pm-tc,https://doi.org/10.5594/SMPTE.ST2067-20.2016,undefined,undefined,undefined,undefined,2016-07-11,SMPTE,false,null,undefined,undefined,undefined,undefined,true,null,undefined,null,undefined,2067,20,undefined,10.5594/SMPTE.ST2067-20.2016,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,SMPTE.ST2067-21.2020,SMPTE ST 2067-21:2020,Interoperable Master Format — Application #2E,国外标准,smpte-35pm-tc,https://doi.org/10.5594/SMPTE.ST2067-21.2020,undefined,"[""IMF"",""IMF应用""]",undefined,undefined,2020-05-12,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,2067,21,https://github.com/SMPTE/st2067-21,10.5594/SMPTE.ST2067-21.2020,undefined,undefined,undefined,undefined,undefined,undefined,true,2020-11-03,undefined,undefined
undefined,undefined,undefined,SMPTE.ST2067-30.2013,SMPTE ST 2067-30:2013,Interoperable Master Format — Application #3,国外标准,smpte-35pm-tc,https://doi.org/10.5594/SMPTE.ST2067-30.2013,undefined,"[""IMF"",""IMF应用""]",undefined,undefined,2013-08-29,SMPTE,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,2067,30,undefined,10.5594/SMPTE.ST2067-30.2013,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""董强国"",""张辉"",""李娜"",""高峰"",""王文强"",""崔强"",""周令非"",""龚波"",""贾波"",""何伟峰"",""黄永谦"",""邱正选"",""杨洪涛""]",dyt-6-2021,DY/T 6-2021,数字电影放映用还音设备技术要求和测量方法,行业标准,国家电影局,./pdf/DYT_6-2021_数字电影放映用还音设备技术要求和测量方法.pdf,2021-08-01,"[""声音"",""测量""]",中央宣传部电影技术质量检测所,"[""中央宣传部电影技术质量检测所"",""中国电影科学技术研究所"",""广州飞达音响股份有限公司"",""宁波音王集团有限公司"",""中广华夏影视科技有限公司"",""北京中影博圣影视科技有限公司""]",2021-08-01,国家电影局,true,null,undefined,undefined,undefined,undefined,undefined,"[""gbt-12060.3-2011"",""gbt-12060.5-2011"",""gyt-158-2000"",""gyt-312-2017""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-12060.3-2011,GB/T 12060.3—2011,声系统设备 第3部分：声频放大器测量方法,国家标准,全国音频、视频及多媒体系统与设备标准化技术委员会（TC242）,undefined,2012-02-01,"[""声音"",""检测能力""]",undefined,undefined,2011-10-31,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-12060.5-2011,GB/T 12060.5—2011,声系统设备 第5部分：扬声器主要性能测试方法,国家标准,全国音频、视频及多媒体系统与设备标准化技术委员会（TC242）,undefined,2012-02-01,undefined,undefined,undefined,2011-10-31,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gyt-158-2000,GY/T 158—2000,演播室数字音频信号接口,行业标准,全国广播电影电视标准化技术委员会（SAC/TC239）,undefined,2000-12-01,undefined,undefined,undefined,2000-06-06,国家广播电影电视总局,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
