adoption,adoptionDegree,authors,docId,docLabel,docTitle,docType,group,href,implementationDate,keywords,leadingunit,participationUnits,publicationDate,publisher,status.active,workInfo.review,status.stabilized,status.stabilizedDate,status.superseded,status.supersededBy,status.withdrawn,references.normative,status.statusNote,references.bibliographic,docElement,docNumber,docPart,repo,doi,relatedDocs,status.reaffirmDate,status.reaffirmed,status.unknown,status.draft,status.publicCd,status.amended,status.amendedDate,status.amendedBy,details
"[""iso2939-1986""]",等效采用（EQV）,"[""孙延炜""]",gbt-4638-1997,GB/T 4638-1997,35mm电影发行拷贝上画面和光学声迹的位置和尺寸,国家标准,国家电影局,./pdf/GBT_4638-1997_35mm电影发行拷贝上画面和光学声迹的位置和尺寸.pdf,1998-03-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1997-06-28,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso2939-1986,ISO 2939:1986,Cinematography — Picture image area and photographic sound record on 35 mm motion-picture release prints — Position and dimensions,国际标准,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,undefined,undefined,true,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso70-1981""]",等效采用（EQV）,"[""孙延炜""]",gbt-4639-2000,GB/T 4639-2000,35mm 单声道电影光学声底片上声迹的位置和最大宽度尺寸,国家标准,国家电影局,./pdf/GBT_4639-2000_35mm_单声道电影光学声底片上声迹的位置和最大宽度尺寸.pdf,2001-03-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2000-10-17,国家质量技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso70-1981,ISO 70:1981,Cinematography — 35 mm negative photographic sound record on 35 mm motion-picture film — Position and maximum width dimensions,国际标准,iso-tc36-tc,https://www.iso.org/standard/3710.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1986-06-01,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso23-1993""]",等效采用（EQV）,"[""吴淑芝""]",gbt-4640-2000,GB/T 4640-2000,35mm电影胶片在摄影机上的用法,国家标准,国家电影局,./pdf/GBT_4640-2000_35mm电影胶片在摄影机上的用法.pdf,2001-03-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2000-10-17,国家质量技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso23-1993,ISO 23:1993,Cinematography — Camera usage of 35 mm motion-picture film — Specifications,国际标准,iso-tc36-tc,https://www.iso.org/standard/20575.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1997-11-30,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso25-1994""]",等效采用（EQV）,"[""吴淑芝""]",gbt-4641-2000,GB/T 4641-2000,16mm电影胶片在摄影机上的用法,国家标准,国家电影局,./pdf/GBT_4641-2000_16mm电影胶片在摄影机上的用法.pdf,2001-03-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2000-10-17,国家质量技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso25-1994,ISO 25:1994,Cinematography — Camera usage of 16 mm motion-picture film — Specifications,国际标准,iso-tc36-tc,https://www.iso.org/standard/21562.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1998-11-30,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso466-1976""]",参考采用（REF）,"[""华锡梅""]",gbt-4642-1984,GB/T 4642-1984,16mm电影摄影机片窗在胶片上所形成的影象位置和尺寸,国家标准,国家电影局,./pdf/GBT_4642-1984_16mm电影摄影机片窗在胶片上所形成的影象位置和尺寸.pdf,1985-05-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1984-08-14,国家标准局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso466-1976,ISO 466:1976,Cinematography — Image produced by 16 mm motion-picture camera aperture — Position and dimensions,国际标准,iso-tc36-tc,https://www.iso.org/standard/4494.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1981-12-01,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso2910-1990""]",修改采用（MOD）,"[""顾正保"",""李涵初"",""陈江"",""罗燕翎"",""马思泽""]",gbt-4645-2006,GB/T 4645-2006,室内影院和鉴定放映室的银幕亮度,国家标准,国家电影局,./pdf/GBT_4645-2006_室内影院和鉴定放映室的银幕亮度.pdf,2007-03-01,"[""测量"",""放映""]",中国电影集团,"[""中国电影集团"",""上海市文化广播影视管理局"",""中国电影科学技术研究所"",""国家电影局电影技术质量检测所""]",2006-08-30,中华人民共和国国家质量监督检验检疫总局/中国国家标准化管理委员会,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso2910-1990,ISO 2910:1990,Cinematography — Screen luminance for the projection of motion-picture prints in indoor theatres and review rooms,国际标准,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso2910-2018""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso8567-1986""]",修改采用（MOD）,"[""张中平""]",gbt-5297-2002,GB/T 5297-2002,35mm和16mm电影发行影片字幕最大可允许区域的位置和尺寸,国家标准,国家电影局,./pdf/GBT_5297-2002_35mm和16mm电影发行影片字幕最大可允许区域的位置和尺寸.pdf,2003-05-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2002-12-04,中华人民共和国国家质量监督检验检疫总局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso8567-1986,ISO 8567:1986,Cinematography — Maximum permissible area for subtitle 35 mm and 16 mm motion-picture release prints — Dimensions and locations,国际标准,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso8567-2002""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""王少明""]",gbt-5298-1985,GB/T 5298-1985,35mm电影遮幅法影片画面的位置及尺寸,国家标准,国家电影局,./pdf/GBT_5298-1985_35mm电影遮幅法影片画面的位置及尺寸.pdf,1986-04-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1985-08-25,国家标准局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,"[""gbt-2926-1982""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,"[""王少明""]",gbt-2926-1982,GB/T 2926-1982,35mm和16mm电影发行影片用片头和片尾的技术规格,国家标准,中国电影科学技术研究所,undefined,undefined,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",undefined,国家标准局,false,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,true,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
